PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Pharse),Difference(Sentence)
171,6,of nearly epic proportions,3,of nearly epic proportions,2,1,2
172,6,nearly epic proportions,2,nearly epic proportions,2,0,2
173,6,nearly epic,4,nearly epic,2,2,2
174,6,nearly,2,nearly,2,0,2
175,6,epic,3,epic,2,1,2
176,6,proportions,2,proportions,2,0,2
177,6,rooted in a sincere performance by the title character undergoing midlife crisis .,4,rooted in a sincere performance by the title character undergoing midlife crisis .,2,2,2
178,6,rooted in a sincere performance by the title character undergoing midlife crisis,3,rooted in a sincere performance by the title character undergoing midlife crisis,2,1,2
179,6,rooted in a sincere performance,3,rooted in a sincere performance,2,1,2
180,6,rooted,3,rooted,2,1,2
181,6,in a sincere performance,4,in a sincere performance,2,2,2
182,6,in,2,in,2,0,2
183,6,a sincere performance,4,a sincere performance,2,2,2
184,6,sincere performance,4,sincere performance,2,2,2
185,6,sincere,3,sincere,2,1,2
186,6,performance,2,performance,2,0,2
187,6,by the title character undergoing midlife crisis,2,by the title character undergoing midlife crisis,2,0,2
188,6,by,2,by,2,0,2
189,6,the title character undergoing midlife crisis,2,the title character undergoing midlife crisis,2,0,2
190,6,the title character,2,the title character,2,0,2
191,6,title character,2,title character,2,0,2
192,6,title,2,title,2,0,2
193,6,character,2,character,2,0,2
194,6,undergoing midlife crisis,2,undergoing midlife crisis,2,0,2
195,6,undergoing,2,undergoing,2,0,2
196,6,midlife crisis,1,midlife crisis,2,1,2
197,6,midlife,2,midlife,2,0,2
198,6,crisis,2,crisis,2,0,2
199,7,"Narratively , Trouble Every Day is a plodding mess .",1,"Narratively , Trouble Every Day is a plodding mess .",0,1,2
200,7,Narratively,2,Narratively,2,0,2
201,7,", Trouble Every Day is a plodding mess .",1,", Trouble Every Day is a plodding mess .",1,0,2
202,7,Trouble Every Day is a plodding mess .,0,Trouble Every Day is a plodding mess .,1,1,2
203,7,Trouble Every Day,2,Trouble Every Day,2,0,2
204,7,Trouble,1,Trouble,2,1,2
205,7,Every Day,2,Every Day,2,0,2
206,7,Every,2,Every,2,0,2
207,7,Day,2,Day,2,0,2
208,7,is a plodding mess .,1,is a plodding mess .,1,0,2
209,7,is a plodding mess,0,is a plodding mess,1,1,2
210,7,a plodding mess,1,a plodding mess,1,0,2
211,7,plodding mess,0,plodding mess,1,1,2
212,7,plodding,1,plodding,2,1,2
213,7,mess,1,mess,2,1,2
214,8,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",3,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",3,0,2
215,8,The Importance,2,The Importance,2,0,2
216,8,Importance,3,Importance,2,1,2
217,8,"of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",2,"of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",2,0,2
218,8,"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",3,"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",2,1,2
219,8,Being,2,Being,2,0,2
220,8,"Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",2,"Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",3,1,2
221,8,"Earnest ,",3,"Earnest ,",2,1,2
222,8,Earnest,3,Earnest,2,1,2
223,8,so thick with wit it plays like a reading from Bartlett 's Familiar Quotations,2,so thick with wit it plays like a reading from Bartlett 's Familiar Quotations,3,1,2
224,8,so,2,so,2,0,2
225,8,thick with wit it plays like a reading from Bartlett 's Familiar Quotations,3,thick with wit it plays like a reading from Bartlett 's Familiar Quotations,2,1,2
226,8,thick,2,thick,2,0,2
227,8,with wit it plays like a reading from Bartlett 's Familiar Quotations,3,with wit it plays like a reading from Bartlett 's Familiar Quotations,2,1,2
228,8,with,2,with,2,0,2
229,8,wit it plays like a reading from Bartlett 's Familiar Quotations,2,wit it plays like a reading from Bartlett 's Familiar Quotations,2,0,2
230,8,wit,2,wit,2,0,2
231,8,it plays like a reading from Bartlett 's Familiar Quotations,2,it plays like a reading from Bartlett 's Familiar Quotations,2,0,2
232,8,it,2,it,2,0,2
233,8,plays like a reading from Bartlett 's Familiar Quotations,3,plays like a reading from Bartlett 's Familiar Quotations,2,1,2
234,8,plays,2,plays,2,0,2
235,8,like a reading from Bartlett 's Familiar Quotations,2,like a reading from Bartlett 's Familiar Quotations,2,0,2
236,8,like,2,like,2,0,2
237,8,a reading from Bartlett 's Familiar Quotations,2,a reading from Bartlett 's Familiar Quotations,2,0,2
238,8,a reading,2,a reading,2,0,2
239,8,reading,2,reading,2,0,2
240,8,from Bartlett 's Familiar Quotations,2,from Bartlett 's Familiar Quotations,2,0,2
241,8,from,2,from,2,0,2
242,8,Bartlett 's Familiar Quotations,2,Bartlett 's Familiar Quotations,2,0,2
243,8,Bartlett 's,2,Bartlett 's,2,0,2
244,8,Bartlett,2,Bartlett,2,0,2
245,8,Familiar Quotations,2,Familiar Quotations,2,0,2
246,8,Familiar,2,Familiar,2,0,2
247,8,Quotations,2,Quotations,2,0,2
248,9,But it doesnot leave you with much .,1,But it does n't leave you with much .,3,2,2
249,9,it doesnot leave you with much .,1,it does n't leave you with much .,3,2,2
250,9,doesnot leave you with much .,1,does n't leave you with much .,3,2,2
251,9,doesnot leave you with much,1,does n't leave you with much,3,2,2
252,9,doesnot,1,does n't,2,1,2
253,9,does,2,does,2,0,2
254,9,n't,2,n't,2,0,2
255,9,leave you with much,2,leave you with much,3,1,2
256,9,leave you,2,leave you,2,0,2
257,9,leave,1,leave,2,1,2
258,9,you,2,you,2,0,2
259,9,with much,2,with much,2,0,2
260,10,You could hate it for the same reason .,1,You could hate it for the same reason .,0,1,2
261,10,could hate it for the same reason .,1,could hate it for the same reason .,2,1,2
262,10,could hate it for the same reason,0,could hate it for the same reason,2,2,2
263,10,could,2,could,2,0,2
264,10,hate it for the same reason,1,hate it for the same reason,2,1,2
265,10,hate it,0,hate it,2,2,2
266,10,hate,0,hate,2,2,2
267,10,for the same reason,2,for the same reason,2,0,2
268,10,the same reason,2,the same reason,2,0,2
269,10,same reason,2,same reason,2,0,2
270,10,same,2,same,2,0,2
271,10,reason,2,reason,2,0,2
272,11,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1,0,2
273,11,There,2,There,2,0,2
274,11,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1,0,2
275,11,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",1,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",1,0,2
276,11,"'s little to recommend Snow Dogs ,",1,"'s little to recommend Snow Dogs ,",1,0,2
277,11,'s little to recommend Snow Dogs,1,'s little to recommend Snow Dogs,1,0,2
278,11,little to recommend Snow Dogs,2,little to recommend Snow Dogs,1,1,2
279,11,little,2,little,2,0,2
280,11,to recommend Snow Dogs,2,to recommend Snow Dogs,2,0,2
281,11,recommend Snow Dogs,4,recommend Snow Dogs,2,2,2
282,11,recommend,3,recommend,2,1,2
283,11,Snow Dogs,2,Snow Dogs,2,0,2
284,11,Snow,2,Snow,2,0,2
285,11,Dogs,2,Dogs,2,0,2
286,11,unless one considers cliched dialogue and perverse escapism a source of high hilarity,1,unless one considers cliched dialogue and perverse escapism a source of high hilarity,3,2,2
287,11,unless,2,unless,2,0,2
288,11,one considers cliched dialogue and perverse escapism a source of high hilarity,2,one considers cliched dialogue and perverse escapism a source of high hilarity,3,1,2
289,11,considers cliched dialogue and perverse escapism a source of high hilarity,2,considers cliched dialogue and perverse escapism a source of high hilarity,3,1,2
290,11,considers,2,considers,2,0,2
291,11,cliched dialogue and perverse escapism a source of high hilarity,1,cliched dialogue and perverse escapism a source of high hilarity,3,2,2
292,11,cliched dialogue and perverse escapism,1,cliched dialogue and perverse escapism,2,1,2
293,11,cliched dialogue and,1,cliched dialogue and,2,1,2
294,11,cliched dialogue,1,cliched dialogue,2,1,2
295,11,cliched,1,cliched,2,1,2
296,11,dialogue,2,dialogue,2,0,2
297,11,perverse escapism,2,perverse escapism,2,0,2
298,11,perverse,1,perverse,2,1,2
299,11,escapism,2,escapism,2,0,2
300,11,a source of high hilarity,3,a source of high hilarity,3,0,2
301,11,a source,2,a source,2,0,2
302,11,source,2,source,2,0,2
303,11,of high hilarity,3,of high hilarity,3,0,2
304,11,high hilarity,4,high hilarity,3,1,2
305,11,high,3,high,2,1,2
306,11,hilarity,3,hilarity,2,1,2
307,12,"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",1,"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",4,3,2
308,12,Kung Pow,2,Kung Pow,2,0,2
309,12,Kung,2,Kung,2,0,2
310,12,Pow,3,Pow,2,1,2
311,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",2,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",4,2,2
312,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",0,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",4,4,2
313,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and",2,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and",2,0,2
314,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick ,",2,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick ,",2,0,2
315,12,is Oedekerk 's realization of his childhood dream to be in a martial-arts flick,2,is Oedekerk 's realization of his childhood dream to be in a martial-arts flick,2,0,2
316,12,Oedekerk 's realization of his childhood dream to be in a martial-arts flick,2,Oedekerk 's realization of his childhood dream to be in a martial-arts flick,2,0,2
317,12,Oedekerk 's realization of his childhood dream,2,Oedekerk 's realization of his childhood dream,2,0,2
318,12,Oedekerk 's realization,2,Oedekerk 's realization,2,0,2
319,12,Oedekerk 's,2,Oedekerk 's,2,0,2
320,12,Oedekerk,2,Oedekerk,2,0,2
321,12,realization,2,realization,2,0,2
322,12,of his childhood dream,2,of his childhood dream,2,0,2
323,12,his childhood dream,2,his childhood dream,2,0,2
324,12,his,2,his,2,0,2
325,12,childhood dream,2,childhood dream,2,0,2
326,12,childhood,2,childhood,2,0,2
327,12,dream,3,dream,2,1,2
328,12,to be in a martial-arts flick,2,to be in a martial-arts flick,2,0,2
329,12,be in a martial-arts flick,2,be in a martial-arts flick,2,0,2
330,12,be,2,be,2,0,2
331,12,in a martial-arts flick,2,in a martial-arts flick,2,0,2
332,12,a martial-arts flick,2,a martial-arts flick,2,0,2
333,12,martial-arts flick,2,martial-arts flick,2,0,2
334,12,martial-arts,2,martial-arts,2,0,2
335,12,flick,2,flick,2,0,2
336,12,proves that sometimes the dreams of youth should remain just that,1,proves that sometimes the dreams of youth should remain just that,2,1,2
337,12,proves,2,proves,2,0,2
338,12,that sometimes the dreams of youth should remain just that,1,that sometimes the dreams of youth should remain just that,2,1,2
339,12,sometimes the dreams of youth should remain just that,1,sometimes the dreams of youth should remain just that,2,1,2
340,12,sometimes,2,sometimes,2,0,2
341,12,the dreams of youth should remain just that,2,the dreams of youth should remain just that,2,0,2
342,12,the dreams of youth,3,the dreams of youth,2,1,2
343,12,the dreams,2,the dreams,2,0,2
344,12,dreams,2,dreams,2,0,2
345,12,of youth,2,of youth,2,0,2
346,12,youth,2,youth,2,0,2
347,12,should remain just that,2,should remain just that,2,0,2
348,12,should,2,should,2,0,2
349,12,remain just that,2,remain just that,2,0,2
350,12,remain,2,remain,2,0,2
351,12,just that,2,just that,2,0,2
352,12,just,2,just,2,0,2
353,13,The performances are an absolute joy .,4,The performances are an absolute joy .,3,1,2
354,13,The performances,2,The performances,2,0,2
355,13,performances,2,performances,2,0,2
356,13,are an absolute joy .,4,are an absolute joy .,2,2,2
357,13,are an absolute joy,3,are an absolute joy,2,1,2
358,13,are,2,are,2,0,2
359,13,an absolute joy,4,an absolute joy,2,2,2
360,13,an,2,an,2,0,2
361,13,absolute joy,3,absolute joy,2,1,2
362,13,absolute,2,absolute,2,0,2
363,13,joy,4,joy,2,2,2
364,14,Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,3,Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,3,0,2
365,14,Fresnadillo,2,Fresnadillo,2,0,2
366,14,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,3,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,3,0,2
367,14,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,0,2
368,14,has,2,has,2,0,2
369,14,something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,0,2
370,14,something,2,something,2,0,2
371,14,serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,2,serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,1,2
372,14,serious,2,serious,2,0,2
373,14,to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,0,2
374,14,say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,2,say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,1,2
375,14,say,2,say,2,0,2
376,14,about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,2,about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,1,2
377,14,about,2,about,2,0,2
378,14,the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,1,the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3,2,2
379,14,the ways,2,the ways,2,0,2
380,14,ways,2,ways,2,0,2
381,14,in which extravagant chance can distort our perspective and throw us off the path of good sense,2,in which extravagant chance can distort our perspective and throw us off the path of good sense,3,1,2
382,14,in which,2,in which,2,0,2
383,14,extravagant chance can distort our perspective and throw us off the path of good sense,2,extravagant chance can distort our perspective and throw us off the path of good sense,3,1,2
384,14,extravagant chance,2,extravagant chance,2,0,2
385,14,extravagant,4,extravagant,2,2,2
386,14,chance,2,chance,2,0,2
387,14,can distort our perspective and throw us off the path of good sense,2,can distort our perspective and throw us off the path of good sense,1,1,2
388,14,can,2,can,2,0,2
389,14,distort our perspective and throw us off the path of good sense,2,distort our perspective and throw us off the path of good sense,1,1,2
390,14,distort our perspective and,2,distort our perspective and,2,0,2
391,14,distort our perspective,2,distort our perspective,2,0,2
392,14,distort,2,distort,2,0,2
393,14,our perspective,2,our perspective,2,0,2
394,14,our,2,our,2,0,2
395,14,perspective,2,perspective,2,0,2
396,14,throw us off the path of good sense,2,throw us off the path of good sense,1,1,2
397,14,throw us,2,throw us,2,0,2
398,14,throw,2,throw,2,0,2
399,14,us,3,us,2,1,2
400,14,off the path of good sense,1,off the path of good sense,1,0,2
401,14,off,1,off,2,1,2
402,14,the path of good sense,2,the path of good sense,1,1,2
403,14,the path,2,the path,2,0,2
404,14,path,2,path,2,0,2
405,14,of good sense,3,of good sense,2,1,2
406,14,good sense,3,good sense,3,0,2
407,14,sense,2,sense,2,0,2
408,15,"I still like Moonlight Mile , better judgment be damned .",3,"I still like Moonlight Mile , better judgment be damned .",1,2,2
409,15,"still like Moonlight Mile , better judgment be damned .",3,"still like Moonlight Mile , better judgment be damned .",1,2,2
410,15,still,2,still,2,0,2
411,15,"like Moonlight Mile , better judgment be damned .",2,"like Moonlight Mile , better judgment be damned .",2,0,2
412,15,"like Moonlight Mile , better judgment be damned",2,"like Moonlight Mile , better judgment be damned",2,0,2
413,15,"Moonlight Mile , better judgment be damned",2,"Moonlight Mile , better judgment be damned",2,0,2
414,15,"Moonlight Mile , better judgment",2,"Moonlight Mile , better judgment",2,0,2
415,15,Moonlight,2,Moonlight,2,0,2
416,15,"Mile , better judgment",2,"Mile , better judgment",2,0,2
417,15,Mile,2,Mile,2,0,2
418,15,", better judgment",2,", better judgment",2,0,2
419,15,better judgment,2,better judgment,2,0,2
420,15,better,4,better,2,2,2
421,15,judgment,2,judgment,2,0,2
422,15,be damned,2,be damned,2,0,2
423,15,damned,1,damned,2,1,2
424,16,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",3,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",4,1,2
